PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Glycine_405_microimaging_homogeneous_293K_none_0_solid_microcrystals_06282022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/28
TIME,15:25:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.9146
LASTX, 5992.0854
NPOINTS,   11987
FIRSTY,  1361.69995
MAXY,  3823.96436
MINY,  1359.70789
XYDATA,
133.5854,1387.16
134.0854,1388.97
134.5854,1390.84
135.0854,1392.79
135.5854,1394.79
136.0854,1396.84
136.5854,1398.95
137.0854,1401.09
137.5854,1403.28
138.0854,1405.49
138.5854,1407.73
139.0854,1409.98
139.5854,1412.25
140.0854,1414.53
140.5854,1416.83
141.0854,1419.17
141.5854,1421.55
142.0854,1423.98
142.5854,1426.47
143.0854,1429.04
143.5854,1431.7
144.0854,1434.44
144.5854,1437.29
145.0854,1440.25
145.5854,1443.29
146.0854,1446.42
146.5854,1449.62
147.0854,1452.87
147.5854,1456.16
148.0854,1459.49
148.5854,1462.83
149.0854,1466.18
149.5854,1469.53
150.0854,1472.86
150.5854,1476.17
151.0854,1479.46
151.5854,1482.71
152.0854,1485.93
152.5854,1489.11
153.0854,1492.24
153.5854,1495.31
154.0854,1498.33
154.5854,1501.29
155.0854,1504.18
155.5854,1507.01
156.0854,1509.78
156.5854,1512.49
157.0854,1515.14
157.5854,1517.74
158.0854,1520.29
158.5854,1522.78
159.0854,1525.23
159.5854,1527.64
160.0854,1529.98
160.5854,1532.24
161.0854,1534.39
161.5854,1536.41
162.0854,1538.26
162.5854,1539.92
163.0854,1541.37
163.5854,1542.57
164.0854,1543.52
164.5854,1544.17
165.0854,1544.56
