PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Diamond_405_microimaging_homogeneous_293K_none_0_solid_microcrystals_06282022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/28
TIME,11:39:45
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -3.2589
LASTX, 5990.7411
NPOINTS,   11989
FIRSTY,  1360.03333
MAXY, 16094.18652
MINY,  1358.82556
XYDATA,
130.7411,1362.85
131.2411,1362.92
131.7411,1362.96
132.2411,1362.97
132.7411,1362.94
133.2411,1362.89
133.7411,1362.83
134.2411,1362.77
134.7411,1362.72
135.2411,1362.68
135.7411,1362.67
136.2411,1362.7
136.7411,1362.78
137.2411,1362.92
137.7411,1363.12
138.2411,1363.37
138.7411,1363.65
139.2411,1363.97
139.7411,1364.3
140.2411,1364.63
140.7411,1364.95
141.2411,1365.25
141.7411,1365.52
142.2411,1365.74
142.7411,1365.92
143.2411,1366.05
143.7411,1366.15
144.2411,1366.23
144.7411,1366.3
145.2411,1366.36
145.7411,1366.42
146.2411,1366.5
146.7411,1366.59
147.2411,1366.72
147.7411,1366.88
148.2411,1367.07
148.7411,1367.27
149.2411,1367.48
149.7411,1367.7
150.2411,1367.92
150.7411,1368.12
151.2411,1368.3
151.7411,1368.46
152.2411,1368.58
152.7411,1368.68
153.2411,1368.74
153.7411,1368.79
154.2411,1368.83
154.7411,1368.87
155.2411,1368.91
155.7411,1368.97
156.2411,1369.05
156.7411,1369.16
157.2411,1369.31
157.7411,1369.5
158.2411,1369.71
158.7411,1369.95
159.2411,1370.19
159.7411,1370.44
160.2411,1370.67
160.7411,1370.89
161.2411,1371.09
161.7411,1371.24
162.2411,1371.36
162.7411,1371.43
163.2411,1371.46
163.7411,1371.47
164.2411,1371.45
164.7411,1371.42
165.2411,1371.39
165.7411,1371.37
166.2411,1371.35
166.7411,1371.36
167.2411,1371.39
167.7411,1371.45
168.2411,1371.55
168.7411,1371.67
169.2411,1371.82
169.7411,1372
170.2411,1372.21
170.7411,1372.44
171.2411,1372.69
171.7411,1372.97
172.2411,1373.27
172.7411,1373.59
173.2411,1373.92
173.7411,1374.24
174.2411,1374.56
174.7411,1374.85
175.2411,1375.12
175.7411,1375.36
176.2411,1375.54
176.7411,1375.68
177.2411,1375.75
177.7411,1375.77
178.2411,1375.75
178.7411,1375.7
179.2411,1375.66
179.7411,1375.62
180.2411,1375.6
180.7411,1375.63
181.2411,1375.71
181.7411,1375.86
182.2411,1376.1
182.7411,1376.41
183.2411,1376.78
183.7411,1377.18
184.2411,1377.6
184.7411,1378.01
185.2411,1378.4
185.7411,1378.74
186.2411,1379.02
186.7411,1379.22
187.2411,1379.32
187.7411,1379.33
188.2411,1379.26
188.7411,1379.15
189.2411,1378.99
189.7411,1378.82
190.2411,1378.65
190.7411,1378.49
191.2411,1378.37
191.7411,1378.3
192.2411,1378.3
192.7411,1378.35
193.2411,1378.46
193.7411,1378.6
194.2411,1378.78
194.7411,1378.98
195.2411,1379.19
195.7411,1379.4
196.2411,1379.6
196.7411,1379.78
197.2411,1379.93
197.7411,1380.06
198.2411,1380.16
198.7411,1380.25
199.2411,1380.31
199.7411,1380.36
200.2411,1380.39
200.7411,1380.41
201.2411,1380.43
201.7411,1380.43
202.2411,1380.44
202.7411,1380.44
203.2411,1380.43
203.7411,1380.43
204.2411,1380.43
204.7411,1380.43
205.2411,1380.44
205.7411,1380.46
206.2411,1380.48
206.7411,1380.51
207.2411,1380.55
207.7411,1380.6
208.2411,1380.67
208.7411,1380.74
209.2411,1380.83
209.7411,1380.93
210.2411,1381.04
210.7411,1381.16
211.2411,1381.3
211.7411,1381.45
212.2411,1381.61
212.7411,1381.78
213.2411,1381.96
213.7411,1382.12
214.2411,1382.28
214.7411,1382.43
215.2411,1382.56
215.7411,1382.66
216.2411,1382.74
216.7411,1382.78
217.2411,1382.79
217.7411,1382.77
218.2411,1382.73
218.7411,1382.67
219.2411,1382.6
219.7411,1382.52
220.2411,1382.45
220.7411,1382.38
221.2411,1382.32
221.7411,1382.28
222.2411,1382.26
222.7411,1382.26
223.2411,1382.28
223.7411,1382.32
224.2411,1382.38
224.7411,1382.46
225.2411,1382.57
225.7411,1382.69
226.2411,1382.84
226.7411,1383.02
227.2411,1383.21
227.7411,1383.42
228.2411,1383.64
228.7411,1383.86
229.2411,1384.09
229.7411,1384.31
230.2411,1384.53
230.7411,1384.74
231.2411,1384.93
231.7411,1385.09
232.2411,1385.24
232.7411,1385.36
233.2411,1385.47
233.7411,1385.55
234.2411,1385.61
234.7411,1385.66
235.2411,1385.68
235.7411,1385.68
236.2411,1385.67
236.7411,1385.64
237.2411,1385.59
237.7411,1385.53
238.2411,1385.47
238.7411,1385.4
239.2411,1385.33
239.7411,1385.27
240.2411,1385.22
240.7411,1385.19
241.2411,1385.17
241.7411,1385.17
242.2411,1385.19
242.7411,1385.23
243.2411,1385.28
243.7411,1385.34
244.2411,1385.41
244.7411,1385.49
245.2411,1385.58
245.7411,1385.66
246.2411,1385.74
246.7411,1385.83
247.2411,1385.91
247.7411,1385.99
248.2411,1386.08
248.7411,1386.17
249.2411,1386.27
249.7411,1386.39
250.2411,1386.51
250.7411,1386.65
251.2411,1386.81
251.7411,1386.99
252.2411,1387.17
252.7411,1387.37
253.2411,1387.56
253.7411,1387.76
254.2411,1387.94
254.7411,1388.11
255.2411,1388.25
255.7411,1388.38
256.2411,1388.47
256.7411,1388.52
257.2411,1388.55
257.7411,1388.55
258.2411,1388.53
258.7411,1388.48
259.2411,1388.41
259.7411,1388.33
260.2411,1388.23
260.7411,1388.12
261.2411,1388
261.7411,1387.88
262.2411,1387.76
262.7411,1387.64
263.2411,1387.55
263.7411,1387.47
264.2411,1387.43
264.7411,1387.42
265.2411,1387.45
265.7411,1387.53
266.2411,1387.67
266.7411,1387.85
267.2411,1388.07
267.7411,1388.32
268.2411,1388.58
268.7411,1388.84
269.2411,1389.08
269.7411,1389.3
270.2411,1389.48
270.7411,1389.62
271.2411,1389.69
271.7411,1389.71
272.2411,1389.68
272.7411,1389.62
273.2411,1389.54
273.7411,1389.46
274.2411,1389.38
274.7411,1389.31
275.2411,1389.27
275.7411,1389.27
276.2411,1389.31
276.7411,1389.4
277.2411,1389.52
277.7411,1389.66
278.2411,1389.83
278.7411,1390
279.2411,1390.17
279.7411,1390.34
280.2411,1390.49
280.7411,1390.62
281.2411,1390.71
281.7411,1390.79
282.2411,1390.85
282.7411,1390.89
283.2411,1390.93
283.7411,1390.97
284.2411,1391.02
284.7411,1391.08
285.2411,1391.16
285.7411,1391.27
286.2411,1391.4
286.7411,1391.56
287.2411,1391.73
287.7411,1391.9
288.2411,1392.08
288.7411,1392.26
289.2411,1392.42
289.7411,1392.56
290.2411,1392.68
290.7411,1392.77
291.2411,1392.83
291.7411,1392.86
292.2411,1392.87
292.7411,1392.86
293.2411,1392.84
293.7411,1392.81
294.2411,1392.78
294.7411,1392.75
295.2411,1392.74
295.7411,1392.73
296.2411,1392.74
296.7411,1392.77
297.2411,1392.8
297.7411,1392.84
298.2411,1392.89
298.7411,1392.95
299.2411,1393.01
299.7411,1393.06
300.2411,1393.12
300.7411,1393.18
301.2411,1393.24
301.7411,1393.3
302.2411,1393.36
302.7411,1393.44
303.2411,1393.53
303.7411,1393.64
304.2411,1393.77
304.7411,1393.92
305.2411,1394.1
305.7411,1394.31
306.2411,1394.54
306.7411,1394.78
307.2411,1395.02
307.7411,1395.26
308.2411,1395.49
308.7411,1395.68
309.2411,1395.85
309.7411,1395.97
310.2411,1396.04
310.7411,1396.05
311.2411,1396.02
311.7411,1395.94
312.2411,1395.83
312.7411,1395.71
313.2411,1395.56
313.7411,1395.42
314.2411,1395.29
314.7411,1395.16
315.2411,1395.07
315.7411,1395
316.2411,1394.97
316.7411,1394.96
317.2411,1394.98
317.7411,1395.03
318.2411,1395.09
318.7411,1395.19
319.2411,1395.3
319.7411,1395.43
320.2411,1395.59
320.7411,1395.75
321.2411,1395.93
321.7411,1396.12
322.2411,1396.31
322.7411,1396.51
323.2411,1396.69
323.7411,1396.88
324.2411,1397.04
324.7411,1397.2
325.2411,1397.33
325.7411,1397.44
326.2411,1397.54
326.7411,1397.62
327.2411,1397.69
327.7411,1397.74
328.2411,1397.78
328.7411,1397.82
329.2411,1397.84
329.7411,1397.87
330.2411,1397.88
330.7411,1397.9
331.2411,1397.93
331.7411,1397.96
332.2411,1398
332.7411,1398.07
333.2411,1398.15
333.7411,1398.25
334.2411,1398.39
334.7411,1398.56
335.2411,1398.76
335.7411,1398.99
336.2411,1399.23
336.7411,1399.49
337.2411,1399.73
337.7411,1399.97
338.2411,1400.18
338.7411,1400.36
339.2411,1400.5
339.7411,1400.59
340.2411,1400.63
340.7411,1400.62
341.2411,1400.58
341.7411,1400.52
342.2411,1400.45
342.7411,1400.38
343.2411,1400.32
343.7411,1400.27
344.2411,1400.26
344.7411,1400.29
345.2411,1400.36
345.7411,1400.46
346.2411,1400.6
346.7411,1400.76
347.2411,1400.94
347.7411,1401.13
348.2411,1401.33
348.7411,1401.53
349.2411,1401.72
349.7411,1401.91
350.2411,1402.08
350.7411,1402.23
351.2411,1402.36
351.7411,1402.47
352.2411,1402.55
352.7411,1402.6
353.2411,1402.61
353.7411,1402.59
354.2411,1402.53
354.7411,1402.43
355.2411,1402.3
355.7411,1402.16
356.2411,1402.01
356.7411,1401.87
357.2411,1401.76
357.7411,1401.68
358.2411,1401.65
358.7411,1401.69
359.2411,1401.8
359.7411,1401.99
360.2411,1402.25
360.7411,1402.55
361.2411,1402.89
361.7411,1403.23
362.2411,1403.57
362.7411,1403.88
363.2411,1404.15
363.7411,1404.35
364.2411,1404.48
364.7411,1404.52
365.2411,1404.5
365.7411,1404.42
366.2411,1404.29
366.7411,1404.14
367.2411,1403.98
367.7411,1403.82
368.2411,1403.68
368.7411,1403.56
369.2411,1403.49
369.7411,1403.46
370.2411,1403.48
370.7411,1403.54
371.2411,1403.63
371.7411,1403.75
372.2411,1403.9
372.7411,1404.07
373.2411,1404.27
373.7411,1404.48
374.2411,1404.71
374.7411,1404.94
375.2411,1405.17
375.7411,1405.4
376.2411,1405.61
376.7411,1405.81
377.2411,1405.98
377.7411,1406.12
378.2411,1406.22
378.7411,1406.27
