PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/CalciumCarbonate_532_microimaging_homogeneous_293K_none_0_solid_crystals_09082022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/09/08
TIME,16:45:32
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -2.3980
LASTX, 3629.6020
NPOINTS,    3633
FIRSTY,  2175.11670
MAXY, 20095.12500
MINY,  2172.92041
XYDATA,
265.6020,6702.33
266.6020,6773.91
267.6020,6840.86
268.6020,6911.01
269.6020,6993.58
270.6020,7089.31
271.6020,7188.53
272.6020,7281.22
273.6020,7361.61
274.6020,7426.85
275.6020,7474.5
276.6020,7504.26
277.6020,7516.63
278.6020,7511.49
279.6020,7486.71
280.6020,7439.81
281.6020,7370.7
282.6020,7283.54
283.6020,7183.02
284.6020,7075.97
285.6020,6971.37
286.6020,6877.68
287.6020,6797.85
288.6020,6731.84
289.6020,6679.79
290.6020,6643.03
291.6020,6623.2
292.6020,6618.25
293.6020,6617.28
294.6020,6608.3
295.6020,6589.08
296.6020,6570.22
297.6020,6562.41
298.6020,6564.9
299.6020,6568.57
300.6020,6565.77
301.6020,6559.45
302.6020,6556.8
303.6020,6562.1
304.6020,6570.25
305.6020,6574.25
306.6020,6571.62
307.6020,6567.54
308.6020,6567.72
309.6020,6572.84
310.6020,6578.93
311.6020,6582.26
312.6020,6583.28
313.6020,6584.52
314.6020,6587.76
315.6020,6591.29
316.6020,6592.53
317.6020,6590.64
318.6020,6588.55
319.6020,6589.62
320.6020,6594.95
321.6020,6603.04
322.6020,6612.27
323.6020,6621.23
324.6020,6628.64
325.6020,6633.67
326.6020,6637.92
327.6020,6643.72
328.6020,6651.81
329.6020,6658.65
330.6020,6660.09
331.6020,6656.36
332.6020,6653.81
333.6020,6658.66
334.6020,6669.64
335.6020,6679.83
336.6020,6683.49
337.6020,6683.25
338.6020,6684.97
339.6020,6692.53
340.6020,6703.52
341.6020,6714.3
342.6020,6722.02
343.6020,6724.96
344.6020,6721.81
345.6020,6715.71
346.6020,6713.6
347.6020,6721.09
348.6020,6733.08
349.6020,6739.73
350.6020,6735.22
351.6020,6727.86
352.6020,6728.98
353.6020,6742.26
354.6020,6757.89
355.6020,6765.21
356.6020,6763.82
357.6020,6762.88
358.6020,6770.49
359.6020,6783.42
360.6020,6792.97
361.6020,6793.34
362.6020,6790.03
363.6020,6791.15
364.6020,6799.44
365.6020,6807.55
366.6020,6807.4
367.6020,6799.78
368.6020,6794.13
369.6020,6799.11
370.6020,6813.54
371.6020,6831.26
372.6020,6846.78
373.6020,6857.52
374.6020,6861.6
375.6020,6859.74
376.6020,6857.61
377.6020,6861.18
378.6020,6870.22
379.6020,6878.36
380.6020,6880
381.6020,6878.32
382.6020,6880.98
383.6020,6892.97
384.6020,6908.65
385.6020,6919.8
386.6020,6922.91
387.6020,6923.41
388.6020,6927.43
389.6020,6935
390.6020,6940.25
391.6020,6938.18
392.6020,6933.2
393.6020,6934.35
394.6020,6947.42
395.6020,6965.89
396.6020,6980.44
397.6020,6986.55
398.6020,6988.37
399.6020,6990.75
400.6020,6994.74
401.6020,6997.84
402.6020,6998.12
403.6020,6998.69
404.6020,7004.95
405.6020,7019.69
406.6020,7036.69
407.6020,7047.88
408.6020,7050.48
409.6020,7050.5
410.6020,7054.35
411.6020,7062.06
412.6020,7068.33
413.6020,7068.8
414.6020,7066.48
415.6020,7067.37
416.6020,7074.9
417.6020,7084.73
418.6020,7091.18
419.6020,7093.31
420.6020,7097.07
421.6020,7108.27
422.6020,7123.84
423.6020,7134.29
424.6020,7132.41
425.6020,7124.85
426.6020,7123.05
427.6020,7132.73
428.6020,7145.08
429.6020,7149.29
430.6020,7143.65
431.6020,7137.68
432.6020,7140.68
433.6020,7151.95
434.6020,7164.71
435.6020,7173.33
436.6020,7177.73
437.6020,7179.45
438.6020,7180.45
439.6020,7183.67
440.6020,7191.99
441.6020,7203.92
442.6020,7213.6
443.6020,7215.91
444.6020,7213.43
445.6020,7212.52
446.6020,7217.76
447.6020,7227.16
448.6020,7237.32
449.6020,7246.66
450.6020,7256.52
451.6020,7268.33
452.6020,7280.2
453.6020,7287.6
454.6020,7287.2
455.6020,7283.22
456.6020,7282.75
457.6020,7289.4
458.6020,7297.49
459.6020,7299.99
460.6020,7296.27
461.6020,7293.72
462.6020,7299.3
463.6020,7309.92
464.6020,7316.48
465.6020,7312.44
466.6020,7303.07
467.6020,7296.86
468.6020,7298.87
469.6020,7307.45
470.6020,7320.21
471.6020,7334.47
472.6020,7347.34
473.6020,7356.33
474.6020,7361.91
475.6020,7365.85
476.6020,7369.67
477.6020,7373.99
478.6020,7379.3
479.6020,7384.89
480.6020,7388.5
481.6020,7388.02
482.6020,7384.84
483.6020,7382.7
484.6020,7384.6
485.6020,7390.05
486.6020,7397.5
487.6020,7406.15
488.6020,7416.76
489.6020,7430.2
490.6020,7445.01
491.6020,7457.56
492.6020,7464.66
493.6020,7467.46
494.6020,7469
495.6020,7471.53
496.6020,7474.78
497.6020,7478
498.6020,7480.88
499.6020,7483.75
500.6020,7487.04
501.6020,7492.12
502.6020,7500.9
503.6020,7514.29
504.6020,7528.39
505.6020,7537.96
506.6020,7540.37
507.6020,7538.16
508.6020,7534.43
509.6020,7532.02
510.6020,7533.56
511.6020,7540.93
512.6020,7551.22
513.6020,7559.55
514.6020,7563.51
515.6020,7567.45
